Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~LTE_GPS_433MHz_V1.0.PrjPCB|ReportField=ProjectFullPath~D:\projects\prj\18\车载定位\PCB\LTE_GPS_433MHz\LTE_GPS_433MHz_V1.0.PrjPCB|ReportField=Title~Bill of Materials For Project [LTE_GPS_433MHz_V1.0.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~255|ReportField=ReportTime~16:23:05|ReportField=ReportDate~2018/6/2|ReportField=ReportDateTime~2018/6/2 16:23:05|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018/6/2|ReportField=CurrentTime~16:22:33|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\projects\prj\18\车载定位\PCB\LTE_GPS_433MHz\TOP.SchDoc|ReportField=DocumentName~TOP.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018/6/2|ReportField=Organization~|ReportField=ProjectName~LTE_GPS_433MHz_V1.0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~LTE_GPS_433MHz_V1.0.PrjPCB|ReportField=DataSourceFullPath~D:\projects\prj\18\车载定位\PCB\LTE_GPS_433MHz\LTE_GPS_433MHz_V1.0.PrjPCB
TEST_P|TEST_P|1.8V, 3.3V, 3.8V|TP_High PWR|TEST_P|3
IPX|MCU|4G, 433MHz, GPS B|ECT8180001581|IPX|3
LED0|Typical INFRARED GaAs LED|4G LED, 433, BACK, GPS, PWR|LED_DIP_3mm|LED0|5
LED0|Typical INFRARED GaAs LED|ACPR, CHG, IRQ|0603LED|LED0|3
Header 2|Header, 2-Pin|Adapter|KF7.62-2P|Header 2|1
0.1uF/50V|C, Capacitor|C1, C32, C37, C64, C65, C66, C67, C68|0603C|C, Cap|8
0.1uF/6.3V|C, Capacitor|C10, C38, C42, C51, C52, C53, C54, C55, C56, C62, C161|0603C|C, Cap|11
100uF/10V|Polarized Capacitor (Axial), Polarized Capacitor (Radial)|C22, C25, C30, C31, C34, C39, C40, C41, C61, C69, C76, C77, C78|1210E|Cap Pol1, Cap Pol2|13
22uF/10V|Capacitor (Semiconductor SIM Model)|C23|0805C|Cap Semi|1
100nF/10V|Capacitor (Semiconductor SIM Model)|C24|0603C|Cap Semi|1
1uF/50V|Capacitor|C26|0603C|Cap|1
22pF/6.3V|Capacitor|C27, C28, C29|0603C|Cap|3
10pF|Capacitor|C33|0603C|Cap|1
33pF|Capacitor|C35, C36|0603C|Cap|2
1uF||C43|0603C|C|1
10uF|C|C44, C162|0603C|C|2
1uF||C45|0402C|C|1
9.1pF/50V|Capacitor SMD|C46, C97, C98, C99|0402C|Cap|4
103|Capacitor|C47|0603C|Cap|1
105|Capacitor|C48|0603C|Cap|1
2.2uF/6.3V|Capacitor|C49, C50|0603C|Cap|2
10uF/6.3V|Capacitor|C57|0805C|Cap|1
10pF/6.3V|Capacitor|C58, C60|0603C|Cap|2
1uF/6.3V|Capacitor|C59|0603C|Cap|1
1000pF/100V|C|C63|1206C|C|1
47pF/16V|Capacitor|C70|0603C|CAP|1
4700pF/16V|Capacitor|C71|0603C|CAP|1
68uF/16V|C|C75|1206C|C|1
1uF/16V|C|C79, C86|0603C|C|2
33pF/16V|C|C80, C84|0603C|C|2
680F/16V|C|C81|0603C|C|1
