Remove Pin=U11A-18 From Net=MCU_PWR_EN
Change Component Designator: OldDesignator=1 NewDesignator=3G_ANT
Change Component Designator: OldDesignator=C1 NewDesignator=C2
Change Component Designator: OldDesignator=C2 NewDesignator=C4
Change Component Designator: OldDesignator=C4 NewDesignator=C5
Change Component Designator: OldDesignator=C5 NewDesignator=C6
Change Component Designator: OldDesignator=C6 NewDesignator=C7
Change Component Designator: OldDesignator=C7 NewDesignator=C8
Change Component Designator: OldDesignator=C8 NewDesignator=C9
Change Component Designator: OldDesignator=C9 NewDesignator=C11
Change Component Designator: OldDesignator=C10 NewDesignator=C12
Change Component Designator: OldDesignator=C11 NewDesignator=C13
Change Component Designator: OldDesignator=C12 NewDesignator=C14
Change Component Designator: OldDesignator=C13 NewDesignator=C15
Change Component Designator: OldDesignator=C14 NewDesignator=C16
Change Component Designator: OldDesignator=C15 NewDesignator=C17
Change Component Designator: OldDesignator=C16 NewDesignator=C18
Change Component Designator: OldDesignator=C17 NewDesignator=C19
Change Component Designator: OldDesignator=C18 NewDesignator=C20
Change Component Designator: OldDesignator=C19 NewDesignator=C21
Change Component Designator: OldDesignator=C20 NewDesignator=C64
Change Component Designator: OldDesignator=C21 NewDesignator=C65
Change Component Designator: OldDesignator=C22 NewDesignator=C66
Change Component Designator: OldDesignator=C23 NewDesignator=C67
Change Component Designator: OldDesignator=C24 NewDesignator=C68
Change Component Designator: OldDesignator=C25 NewDesignator=C1
Change Component Designator: OldDesignator=C26 NewDesignator=C10
Change Component Designator: OldDesignator=C27 NewDesignator=C22
Change Component Designator: OldDesignator=C28 NewDesignator=C25
Change Component Designator: OldDesignator=C29 NewDesignator=C26
Change Component Designator: OldDesignator=C30 NewDesignator=C27
Change Component Designator: OldDesignator=C31 NewDesignator=C28
Change Component Designator: OldDesignator=C32 NewDesignator=C29
Change Component Designator: OldDesignator=C33 NewDesignator=C30
Change Component Designator: OldDesignator=C34 NewDesignator=C31
Change Component Designator: OldDesignator=C35 NewDesignator=C32
Change Component Designator: OldDesignator=C36 NewDesignator=C33
Change Component Designator: OldDesignator=C37 NewDesignator=C35
Change Component Designator: OldDesignator=C38 NewDesignator=C36
Change Component Designator: OldDesignator=C39 NewDesignator=C38
Change Component Designator: OldDesignator=C40 NewDesignator=C42
Change Component Designator: OldDesignator=C41 NewDesignator=C43
Change Component Designator: OldDesignator=C42 NewDesignator=C44
Change Component Designator: OldDesignator=C43 NewDesignator=C45
Change Component Designator: OldDesignator=C44 NewDesignator=C47
Change Component Designator: OldDesignator=C45 NewDesignator=C48
Change Component Designator: OldDesignator=C46 NewDesignator=C49
Change Component Designator: OldDesignator=C47 NewDesignator=C50
Change Component Designator: OldDesignator=C48 NewDesignator=C51
Change Component Designator: OldDesignator=C49 NewDesignator=C52
Change Component Designator: OldDesignator=C50 NewDesignator=C53
Change Component Designator: OldDesignator=C51 NewDesignator=C54
Change Component Designator: OldDesignator=C52 NewDesignator=C55
Change Component Designator: OldDesignator=C53 NewDesignator=C56
Change Component Designator: OldDesignator=C54 NewDesignator=C57
Change Component Designator: OldDesignator=C55 NewDesignator=C58
Change Component Designator: OldDesignator=C56 NewDesignator=C59
Change Component Designator: OldDesignator=C57 NewDesignator=C60
Change Component Designator: OldDesignator=C58 NewDesignator=C62
Change Component Designator: OldDesignator=C59 NewDesignator=C37
Change Component Designator: OldDesignator=C60 NewDesignator=C63
Change Component Designator: OldDesignator=C62 NewDesignator=C93
Change Component Designator: OldDesignator=C64 NewDesignator=C160
Change Component Designator: OldDesignator=C65 NewDesignator=C162
Change Component Designator: OldDesignator=C66 NewDesignator=C70
Change Component Designator: OldDesignator=C67 NewDesignator=C161
Change Component Designator: OldDesignator=C68 NewDesignator=C71
Change Component Designator: OldDesignator=C70 NewDesignator=C84
Change Component Designator: OldDesignator=C72 NewDesignator=C86
Change Component Designator: OldDesignator=C73 NewDesignator=C75
Change Component Designator: OldDesignator=C74 NewDesignator=C80
Change Component Designator: OldDesignator=C75 NewDesignator=C87
Change Component Designator: OldDesignator=C80 NewDesignator=C88
Change Component Designator: OldDesignator=C83 NewDesignator=C105
Change Component Designator: OldDesignator=C84 NewDesignator=C106
Change Component Designator: OldDesignator=C85 NewDesignator=C107
Change Component Designator: OldDesignator=C88 NewDesignator=C89
