Removed Pin From Net: NetName=NetR13_1 Pin=R13-1
Added Component: Designator=U2(TQFP-48)
Added Pin To Net: NetName=BATTERY Pin=R13-1
Added Pin To Net: NetName=NetR13_1 Pin=R13-1
Added Pin To Net: NetName=GND Pin=R13-2
Added Pin To Net: NetName=VCC_3.3V Pin=U2-1
Added Pin To Net: NetName=OSCIN Pin=U2-5
Added Pin To Net: NetName=OSCOUT Pin=U2-6
Added Pin To Net: NetName=NRST Pin=U2-7
Added Pin To Net: NetName=GND Pin=U2-8
Added Pin To Net: NetName=VCC_3.3V Pin=U2-9
Added Pin To Net: NetName=AD_BAT_IN Pin=U2-10
Added Pin To Net: NetName=TXD2 Pin=U2-12
Added Pin To Net: NetName=RXD2 Pin=U2-13
Added Pin To Net: NetName=PEN_SWITCH_OUT Pin=U2-17
Added Pin To Net: NetName=PEN_LED_IN Pin=U2-18
Added Pin To Net: NetName=NetR2_1 Pin=U2-20
Added Pin To Net: NetName=GND Pin=U2-23
Added Pin To Net: NetName=VCC_3.3V Pin=U2-24
Added Pin To Net: NetName=NetS2_2 Pin=U2-25
Added Pin To Net: NetName=DM Pin=U2-32
Added Pin To Net: NetName=DP Pin=U2-33
Added Pin To Net: NetName=SWDIO Pin=U2-34
Added Pin To Net: NetName=GND Pin=U2-35
Added Pin To Net: NetName=VCC_3.3V Pin=U2-36
Added Pin To Net: NetName=SWCLK Pin=U2-37
Added Pin To Net: NetName=NetR8_1 Pin=U2-46
Added Pin To Net: NetName=GND Pin=U2-47
Added Pin To Net: NetName=VCC_3.3V Pin=U2-48
Added Member To Class: ClassName=mcu Member=Component U2 STM32F103C8T6
